Supermercado,Categoría,precio,descuento,brand,description,imagen
Vea,Electro,$59.999,"$50.999,15",NOBLEX,Led Noblex 32 Smart ,https://veaargentina.vtexassets.com/arquivos/ids/773662-500-auto?v=1765294696&width=500&height=auto&aspect=true
Vea,Electro,$284.999,"$256.499,1",SAMSUNG,Smart Tv 55 4k Qled Q65b Samsung ,https://veaargentina.vtexassets.com/arquivos/ids/741085-500-auto?v=1765290248&width=500&height=auto&aspect=true
Vea,Electro,$31.839,"$25.471,2",DAEWOO,Aspiradora D/polvo Y Agua Daewoo Davc90 -15l ,https://veaargentina.vtexassets.com/arquivos/ids/586012-500-auto?v=1765257928&width=500&height=auto&aspect=true
Vea,Electro,$288.099,,WHIRLPOOL,Lavavajillas Whirlpool 14 C Blanco Inverter ,https://veaargentina.vtexassets.com/arquivos/ids/596631-500-auto?v=1765296727&width=500&height=auto&aspect=true
Vea,Electro,$12.599,"$10.709,15",PHILIPS,Plancha A Vapor Philips Base Antiadherente 2000 W ,https://veaargentina.vtexassets.com/arquivos/ids/211512-500-auto?v=1765258619&width=500&height=auto&aspect=true
Vea,Electro,$119.999,"$95.999,2",STROMBERG,Parlante Stromberg Dj 5004 Woofer 2x10 Tweeter ,https://veaargentina.vtexassets.com/arquivos/ids/698707-500-auto?v=1765296934&width=500&height=auto&aspect=true
Vea,Electro,$13.499,"$12.149,1",SIN MARCA,Sandwichera Kanji Sm750m 3 En 1 ,https://veaargentina.vtexassets.com/arquivos/ids/741108-500-auto?v=1765257625&width=500&height=auto&aspect=true
Vea,Electro,$53.999,,MOTOROLA,Celular Motorola Moto E32 Xt2227-1 Plata ,https://veaargentina.vtexassets.com/arquivos/ids/713214-500-auto?v=1765290459&width=500&height=auto&aspect=true
Vea,Electro,$4.499,,SODASTREAM,Sodastream Cilindro De Co2 Cqc Rosa ,https://veaargentina.vtexassets.com/arquivos/ids/752349-500-auto?v=1765293573&width=500&height=auto&aspect=true
Vea,Electro,$22.739,"$18.191,2",PHILIPS,Parlante Philips Bluetooth Tavs500-00 ,https://veaargentina.vtexassets.com/arquivos/ids/638320-500-auto?v=1765258257&width=500&height=auto&aspect=true
Vea,Electro,$15.090,$12.072,MOULINEX,Picadora 123 Blanca Moulinex  Ad6011ar ,https://veaargentina.vtexassets.com/arquivos/ids/202177-500-auto?v=1765258258&width=500&height=auto&aspect=true
Vea,Electro,$1.125,$900,MAXELL,Mouse Optico Maxell Rojo 5 Botones ,https://veaargentina.vtexassets.com/arquivos/ids/724401-500-auto?v=1765258268&width=500&height=auto&aspect=true
Vea,Electro,$187.599,"$159.459,15",WHIRLPOOL,Cocina Whirlpool Multigas 56cm Wfx57dw Inox ,https://veaargentina.vtexassets.com/arquivos/ids/592421-500-auto?v=1765296728&width=500&height=auto&aspect=true
Vea,Electro,$21.329,"$17.063,2",DAEWOO,Horno Electrico Daewoo Dw-3000eb ,https://veaargentina.vtexassets.com/arquivos/ids/687378-500-auto?v=1765258431&width=500&height=auto&aspect=true
Vea,Electro,$129.999,,MOTOROLA,Celular Motorola Edge 30 Plata ,https://veaargentina.vtexassets.com/arquivos/ids/741069-500-auto?v=1765290246&width=500&height=auto&aspect=true
Vea,Electro,$7.999,"$6.799,15",SIN MARCA,Pava Hervidora Kanji Pe0151s ,https://veaargentina.vtexassets.com/arquivos/ids/741109-500-auto?v=1765259147&width=500&height=auto&aspect=true
Vea,Electro,$319.999,,SAMSUNG,Celular Samsung Galaxy Z Flip4 256gb Graphite ,https://veaargentina.vtexassets.com/arquivos/ids/717233-500-auto?v=1765228609&width=500&height=auto&aspect=true
Vea,Electro,$199.999,"$179.999,1",SAMSUNG,Torre De Sonido Samsung Mx-tb50 ,https://veaargentina.vtexassets.com/arquivos/ids/756518-500-auto?v=1765296929&width=500&height=auto&aspect=true
Vea,Electro,$2.459,"$1.967,2",MOTOROLA,Auricular Motorola Ear Buds 2-s Turquesa ,https://veaargentina.vtexassets.com/arquivos/ids/665649-500-auto?v=1765257762&width=500&height=auto&aspect=true
Vea,Electro,$16.999,"$13.599,2",ATMA,Pava Elect Atma Nordica Peatw21wp ,https://veaargentina.vtexassets.com/arquivos/ids/729990-500-auto?v=1765259042&width=500&height=auto&aspect=true
Vea,Electro,$1.099,,IAEL,Cargador Auto Microusb Tipoc Iael En-008 ,https://veaargentina.vtexassets.com/arquivos/ids/657440-500-auto?v=1765293377&width=500&height=auto&aspect=true
Vea,Electro,$89.999,"$71.999,2",BOSE,Auriculares Bluetooth Inalámbricos Sport Blanco ,https://veaargentina.vtexassets.com/arquivos/ids/700451-500-auto?v=1765204516&width=500&height=auto&aspect=true
Vea,Electro,$399.999,"$359.999,1",SAMSUNG,Smart Tv Neoqled Samsung 50 4k ,https://veaargentina.vtexassets.com/arquivos/ids/754217-500-auto?v=1765257555&width=500&height=auto&aspect=true
Vea,Electro,$149.999,"$119.999,2",DAEWOO,Parlante Techno Daewoo Dw-dj8612 ,https://veaargentina.vtexassets.com/arquivos/ids/758657-500-auto?v=1765296741&width=500&height=auto&aspect=true
Vea,Electro,$624.999,"$562.499,1",BOSE,Parlante  Bose Bass Module 700 ,https://veaargentina.vtexassets.com/arquivos/ids/662652-500-auto?v=1765296606&width=500&height=auto&aspect=true
Vea,Electro,$6.999,,PEABODY,Extractor De Cítrico Peabody Pe-ec30 ,https://veaargentina.vtexassets.com/arquivos/ids/622344-500-auto?v=1765293376&width=500&height=auto&aspect=true
Vea,Electro,$29.999,,PEABODY,Vitroconvector Peabody Vidrio Plano Blanco 1000 W ,https://veaargentina.vtexassets.com/arquivos/ids/534677-500-auto?v=1765293384&width=500&height=auto&aspect=true
Vea,Tiempo Libre,$549,"$329,4",PELIKAN,Marcador Pelikan X 1 Un Pintaloco 41-520-012 Bli 1 Un. ,https://veaargentina.vtexassets.com/arquivos/ids/623848-500-auto?v=1765296683&width=500&height=auto&aspect=true
Vea,Tiempo Libre,$1.200,,SIN MARCA,Canopla 2 Cierress X 1 Un ,https://veaargentina.vtexassets.com/arquivos/ids/761385-500-auto?v=1765213108&width=500&height=auto&aspect=true
Vea,Tiempo Libre,$848,"$593,6",AMERICA,"Cuaderno America 29,7cm. Gatitos Rayadas 80 Hojas ",https://veaargentina.vtexassets.com/arquivos/ids/681732-500-auto?v=1765218382&width=500&height=auto&aspect=true
Vea,Tiempo Libre,$1.895,$1.099,SD,Carpeta Eco Unicornio 1 U ,https://veaargentina.vtexassets.com/arquivos/ids/684409-500-auto?v=1765254398&width=500&height=auto&aspect=true
Vea,Tiempo Libre,$285,$171,SIN MARCA,Sacapuntas 3 En 1  Hole Sharpener X 1 Un ,https://veaargentina.vtexassets.com/arquivos/ids/623909-500-auto?v=1765293019&width=500&height=auto&aspect=true
Vea,Tiempo Libre,$3.399,,MARKET SELF,Libro Invictor Y Mayo En Busca De La Esmeralda ,https://veaargentina.vtexassets.com/arquivos/ids/667265-500-auto?v=1765081950&width=500&height=auto&aspect=true
Vea,Tiempo Libre,$1.339,"$803,4",PIZZINI,Minimarcadores Escolares Punta Conica Al Agua Pizzini X10 Colores ,https://veaargentina.vtexassets.com/arquivos/ids/683354-500-auto?v=1765083037&width=500&height=auto&aspect=true
Vea,Tiempo Libre,$989,"$593,4",SIN MARCA,Roller Gel Borrable Borrax- Filgo ,https://veaargentina.vtexassets.com/arquivos/ids/657203-500-auto?v=1765291599&width=500&height=auto&aspect=true
Vea,Tiempo Libre,$400,,PRH,Diverlibros Dinosaus Y Dragones - Prh ,https://veaargentina.vtexassets.com/arquivos/ids/758619-500-auto?v=1765203923&width=500&height=auto&aspect=true
Vea,Tiempo Libre,"$366,37",,SIMPLE,Suplemento En Barra Simple Cookies 45 Gr ,https://veaargentina.vtexassets.com/arquivos/ids/583246-500-auto?v=1765298323&width=500&height=auto&aspect=true
Vea,Bebidas,"$386,72",,CORONA,Cerveza Rubia Corona 330 Ml Porrón Descartable ,https://veaargentina.vtexassets.com/arquivos/ids/655329-500-auto?v=1765300007&width=500&height=auto&aspect=true
Vea,Bebidas,"$233,61",,COCA COLA,Gaseosa Coca-cola Sin Az£car 500 Ml ,https://veaargentina.vtexassets.com/arquivos/ids/770851-500-auto?v=1765298639&width=500&height=auto&aspect=true
Vea,Bebidas,"$246,84",,SALDAN,Soda Sifón Saldan 2 L ,https://veaargentina.vtexassets.com/arquivos/ids/477752-500-auto?v=1765299059&width=500&height=auto&aspect=true
Vea,Bebidas,"$671,02",,GLACIAR,Agua Baja En Sodio Glaciar Bidon 6.3 L ,https://veaargentina.vtexassets.com/arquivos/ids/567597-500-auto?v=1765300274&width=500&height=auto&aspect=true
Vea,Bebidas,"$626,16",,PATAGONIA,Cerveza Session Ipa Sauco Patagonia 247 730 Ml Botella Descartable ,https://veaargentina.vtexassets.com/arquivos/ids/588401-500-auto?v=1765300214&width=500&height=auto&aspect=true
Vea,Bebidas,"$1.862,8",,DADA,Espumante Dad  Dulce 750 Cc ,https://veaargentina.vtexassets.com/arquivos/ids/194154-500-auto?v=1765298507&width=500&height=auto&aspect=true
Vea,Bebidas,"$1.644,78",,MUMM,Espumante Mumm Leger Spritz Botella 750 Cc ,https://veaargentina.vtexassets.com/arquivos/ids/615441-500-auto?v=1765299065&width=500&height=auto&aspect=true
Vea,Bebidas,"$767,81",,REAL,Sidra Real Blanca 750 ,https://veaargentina.vtexassets.com/arquivos/ids/581240-500-auto?v=1765291330&width=500&height=auto&aspect=true
Vea,Bebidas,"$79,98",,QUILMES,Cerveza Quilmes Stout 340cc ,https://veaargentina.vtexassets.com/arquivos/ids/588404-500-auto?v=1765298647&width=500&height=auto&aspect=true
Vea,Bebidas,$1.750,,FRESITA,Champaña Fresita Original 750 Ml ,https://veaargentina.vtexassets.com/arquivos/ids/484871-500-auto?v=1765287728&width=500&height=auto&aspect=true
Vea,Bebidas,"$184,21",,CUISINE & CO NBE MP,Agua Mineral Cuisine & Co Sin Gas 2l ,https://veaargentina.vtexassets.com/arquivos/ids/619126-500-auto?v=1765300265&width=500&height=auto&aspect=true
Vea,Bebidas,"$200,54",,7 UP,Gaseosas 7up Sin Azúcar Lima Limón 1.5 L ,https://veaargentina.vtexassets.com/arquivos/ids/770385-500-auto?v=1765300476&width=500&height=auto&aspect=true
Vea,Bebidas,"$2.871,23",,GOOSE ISLAND,Cerveza Goose Island Ipa 473cc Six Pack ,https://veaargentina.vtexassets.com/arquivos/ids/611984-500-auto?v=1765294992&width=500&height=auto&aspect=true
Vea,Bebidas,"$2.367,74",,LAS PERDICES,Espumante Las Perdices Champenoise Corto 750cc ,https://veaargentina.vtexassets.com/arquivos/ids/674834-500-auto?v=1765286823&width=500&height=auto&aspect=true
Vea,Bebidas,"$1.750,93",,Mosquita Muerta,Vino Perro Callejero Malbec ,https://veaargentina.vtexassets.com/arquivos/ids/709288-500-auto?v=1765294974&width=500&height=auto&aspect=true
Vea,Bebidas,"$651,22","$390,73",PATAGONIA,Cerveza Patagonia Bohemian 1lt Retornable ,https://veaargentina.vtexassets.com/arquivos/ids/759025-500-auto?v=1765293637&width=500&height=auto&aspect=true
Vea,Bebidas,"$292,97",,MONSTER,Bebida Energizante Monster Ultra Sunrise 473cc ,https://veaargentina.vtexassets.com/arquivos/ids/773620-500-auto?v=1765300642&width=500&height=auto&aspect=true
Vea,Bebidas,"$1.880,78",,CASILLERO DEL DIABLO,Vino Tinto Cabernet Sauvignon Casillero Del Diablo 750 Cc ,https://veaargentina.vtexassets.com/arquivos/ids/614094-500-auto?v=1765296724&width=500&height=auto&aspect=true
Vea,Bebidas,"$2.009,18",,SKYY,Vodka Skyy Infusions Apricot 750 Ml ,https://veaargentina.vtexassets.com/arquivos/ids/555770-500-auto?v=1765297590&width=500&height=auto&aspect=true
Vea,Bebidas,"$250,7",,AQUARIUS,"Agua Saborizada Aquarius Naranja 1,5 Lt ",https://veaargentina.vtexassets.com/arquivos/ids/770961-500-auto?v=1765300486&width=500&height=auto&aspect=true
Vea,Bebidas,"$1.012,27",,PORTILLO,Vino Rosado Malbec Portillo 750 Ml ,https://veaargentina.vtexassets.com/arquivos/ids/764537-500-auto?v=1765298790&width=500&height=auto&aspect=true
Vea,Bebidas,"$2.287,24",,LUIGI BOSCA,Vino Tinto Luigi Bosca Reserva Cabernet Sauvignon 750 Cc ,https://veaargentina.vtexassets.com/arquivos/ids/685494-500-auto?v=1765293546&width=500&height=auto&aspect=true
Vea,Bebidas,"$875,48",,NEW AGE,Vino Blanco New Age 750 Cc ,https://veaargentina.vtexassets.com/arquivos/ids/579440-500-auto?v=1765298493&width=500&height=auto&aspect=true
Vea,Bebidas,"$1.494,39",,EMILIA,Vino Cabernet Sauvignon Emilia X750 Ml ,https://veaargentina.vtexassets.com/arquivos/ids/687595-500-auto?v=1765296627&width=500&height=auto&aspect=true
Vea,Bebidas,"$662,38",,DADA,Vino Dada Sweet 355ml ,https://veaargentina.vtexassets.com/arquivos/ids/583947-500-auto?v=1765298253&width=500&height=auto&aspect=true
Vea,Bebidas,"$542,98",,SMIRNOFF,Smf Ice Red Berrie Lat 473 ,https://veaargentina.vtexassets.com/arquivos/ids/711244-500-auto?v=1765255102&width=500&height=auto&aspect=true
Vea,Bebidas,"$197,2",,AQUARIUS,Agua Saborizada Aquarius Manzana 500 Ml ,https://veaargentina.vtexassets.com/arquivos/ids/770968-500-auto?v=1765300515&width=500&height=auto&aspect=true
Vea,Bebidas,"$624,35","$468,26",BLUE MOON,Cerveza Blue Moon 473cc ,https://veaargentina.vtexassets.com/arquivos/ids/696101-500-auto?v=1765299616&width=500&height=auto&aspect=true
Vea,Bebidas,$413,,PICO DE ORO,Vino De Mesa Pico De Oro Tinto 1 L ,https://veaargentina.vtexassets.com/arquivos/ids/531366-500-auto?v=1765300472&width=500&height=auto&aspect=true
Vea,Bebidas,"$935,1",,COLON,Vino Colon Selecto Merlot Cab Sauvignon ,https://veaargentina.vtexassets.com/arquivos/ids/639713-500-auto?v=1765293122&width=500&height=auto&aspect=true
Vea,Bebidas,"$1.088,94",,FINCA NATALINA,Vino Finca Natalina Blackblend ,https://veaargentina.vtexassets.com/arquivos/ids/610325-500-auto?v=1765300471&width=500&height=auto&aspect=true
Vea,Bebidas,"$365,65",,PAMPA BREWING,Cerveza Pampa Brewing Golden Ale 473cc ,https://veaargentina.vtexassets.com/arquivos/ids/608861-500-auto?v=1765300421&width=500&height=auto&aspect=true
Vea,Bebidas,"$1.583,91","$1.267,13",HESPERIDINA,Aperitivo Hesperidina 1 L ,https://veaargentina.vtexassets.com/arquivos/ids/760402-500-auto?v=1765296229&width=500&height=auto&aspect=true
Vea,Bebidas,"$1.011,07",,SAN FELIPE,Vino Tinto San Felipe Malbec 750 Cc ,https://veaargentina.vtexassets.com/arquivos/ids/182367-500-auto?v=1765258181&width=500&height=auto&aspect=true
Vea,Bebidas,$85,,TUTTI,Jugo Tutti Naranja 200 Ml ,https://veaargentina.vtexassets.com/arquivos/ids/602386-500-auto?v=1765300444&width=500&height=auto&aspect=true
Vea,Bebidas,"$862,29",,CALLIA,Vino Callia Syrah 750ml ,https://veaargentina.vtexassets.com/arquivos/ids/716938-500-auto?v=1765288070&width=500&height=auto&aspect=true
Vea,Bebidas,$1.174,,SANTA JULIA,Vino Santa Julia Merlot X 750 Cc ,https://veaargentina.vtexassets.com/arquivos/ids/766922-500-auto?v=1765288246&width=500&height=auto&aspect=true
Vea,Bebidas,"$412,11",,RABIETA,Cerveza Rabieta Golden Ale 473 Cc ,https://veaargentina.vtexassets.com/arquivos/ids/593340-500-auto?v=1765300439&width=500&height=auto&aspect=true
Vea,Bebidas,"$399,88",,FRIZZE,Frizante Frizze Blue 473cc ,https://veaargentina.vtexassets.com/arquivos/ids/672895-500-auto?v=1765283717&width=500&height=auto&aspect=true
Vea,Bebidas,$799,,LAS BRISAS,Jugo Organico De Manzana Sin Azucar Las Brisas 330cc ,https://veaargentina.vtexassets.com/arquivos/ids/760002-500-auto?v=1765294129&width=500&height=auto&aspect=true
Vea,Bebidas,"$715,18",,SAN HUBERTO,Vino San Huberto Clasico Cabernet Bot-750cc- ,https://veaargentina.vtexassets.com/arquivos/ids/599672-500-auto?v=1765286823&width=500&height=auto&aspect=true
Vea,Carnes,$749,,SIN MARCA,Picada Comun ,https://veaargentina.vtexassets.com/arquivos/ids/676400-500-auto?v=1765301149&width=500&height=auto&aspect=true
Vea,Carnes,$2.835,,SIN MARCA,Ojo De Bife Churrasco ,https://veaargentina.vtexassets.com/arquivos/ids/672994-500-auto?v=1765295362&width=500&height=auto&aspect=true
Vea,Carnes,$679,,SIN MARCA,Muslo De Pollo Por Kg ,https://veaargentina.vtexassets.com/arquivos/ids/674423-500-auto?v=1765294557&width=500&height=auto&aspect=true
Vea,Carnes,$3.015,,SIN MARCA,Peceto ,https://veaargentina.vtexassets.com/arquivos/ids/764023-500-auto?v=1765295363&width=500&height=auto&aspect=true
Vea,Carnes,$1.535,,CABAÑA LA CRIOLLA,Chorizo Fresco Bombón - Cabaña La Criolla ,https://veaargentina.vtexassets.com/arquivos/ids/680401-500-auto?v=1765300375&width=500&height=auto&aspect=true
Vea,Carnes,$999,,HUMOS,Líquido Para Fuego Pyrogrill 500 Ml ,https://veaargentina.vtexassets.com/arquivos/ids/638916-500-auto?v=1765295174&width=500&height=auto&aspect=true
Vea,Carnes,$249,,SIN MARCA,Iniciador De Leña 10 U ,https://veaargentina.vtexassets.com/arquivos/ids/446170-500-auto?v=1765251904&width=500&height=auto&aspect=true
Vea,Frutas y Verduras,$1.449,,SIN MARCA,Tomate Cherry Por Kg ,https://veaargentina.vtexassets.com/arquivos/ids/472988-500-auto?v=1765301929&width=500&height=auto&aspect=true
Vea,Frutas y Verduras,$469,,SIN MARCA,Espinaca Por U ,https://veaargentina.vtexassets.com/arquivos/ids/423918-500-auto?v=1765301901&width=500&height=auto&aspect=true
Vea,Frutas y Verduras,$1.190,"$892,5",SIN MARCA,Pasas De Uva Montecoman A Granel Sultanina Morocha Sin Semilla 1 Kg ,https://veaargentina.vtexassets.com/arquivos/ids/773177-500-auto?v=1765301941&width=500&height=auto&aspect=true
Vea,Frutas y Verduras,$799,"$599,25",TODO RESUELTO,Mani Todo Resuelto Color Crudo Sin Atributo Sin Atributo ,https://veaargentina.vtexassets.com/arquivos/ids/773175-500-auto?v=1765292863&width=500&height=auto&aspect=true
Vea,Frutas y Verduras,$269,,SIN MARCA,Ají Molido 100 Gr ,https://veaargentina.vtexassets.com/arquivos/ids/447200-500-auto?v=1765300236&width=500&height=auto&aspect=true
Vea,Frutas y Verduras,$199,,SIN MARCA,Arroz Para Risotto 400 Gr ,https://veaargentina.vtexassets.com/arquivos/ids/535805-500-auto?v=1765298537&width=500&height=auto&aspect=true
Vea,Frutas y Verduras,$699,,NUTRACEUTICA STURLA,Harina De Amaranto-bsa-gr.-250 ,https://veaargentina.vtexassets.com/arquivos/ids/755948-500-auto?v=1765214738&width=500&height=auto&aspect=true
Vea,Frutas y Verduras,$399,,SIN MARCA,Cookies Coco Mix Green Choice 150 Gr. ,https://veaargentina.vtexassets.com/arquivos/ids/763102-500-auto?v=1765302041&width=500&height=auto&aspect=true
Vea,Lácteos,"$528,17",,LA SERENISIMA,Manteca Multivitaminas La Seren¡sima 200gr ,https://veaargentina.vtexassets.com/arquivos/ids/624074-500-auto?v=1765302025&width=500&height=auto&aspect=true
Vea,Lácteos,"$603,3",,LAS TRES NIÑAS,Crema De Leche Las Tres Ni¤as Uat Para Batir 500ml ,https://veaargentina.vtexassets.com/arquivos/ids/641331-500-auto?v=1765302248&width=500&height=auto&aspect=true
Vea,Lácteos,"$337,84",,LA SERENISIMA,Crema De Leche Liviana La Serenisima U.a.t 200 Ml ,https://veaargentina.vtexassets.com/arquivos/ids/687612-500-auto?v=1765302111&width=500&height=auto&aspect=true
Vea,Lácteos,"$427,23",,CUISINE & CO NBE MP,Panzotti Ricotta Jamon Muzza Cuisine & Co 500 Gr ,https://veaargentina.vtexassets.com/arquivos/ids/601253-500-auto?v=1765302197&width=500&height=auto&aspect=true
Vea,Lácteos,"$383,97",,CUISINE & CO NBE MP,Ravioles Ricotta Espinaca Cuisine & Co 500 Gr ,https://veaargentina.vtexassets.com/arquivos/ids/601251-500-auto?v=1765302257&width=500&height=auto&aspect=true
Vea,Lácteos,"$355,5","$248,85",SER,Yogur Essential Natural Con Cereales Ser 166gr ,https://veaargentina.vtexassets.com/arquivos/ids/720537-500-auto?v=1765301812&width=500&height=auto&aspect=true
Vea,Lácteos,"$334,22","$233,95",SAN IGNACIO,Dulce De Leche San Ignacio Diet 400 Gr ,https://veaargentina.vtexassets.com/arquivos/ids/683285-500-auto?v=1765291297&width=500&height=auto&aspect=true
Vea,Lácteos,"$244,3","$171,01",SER,Yogur Ser Firme Frutilla 190g ,https://veaargentina.vtexassets.com/arquivos/ids/773359-500-auto?v=1765300205&width=500&height=auto&aspect=true
Vea,Lácteos,"$117,67","$82,37",SUBLIME,Postre Sublime Dulce De Leche 95g ,https://veaargentina.vtexassets.com/arquivos/ids/714887-500-auto?v=1765302616&width=500&height=auto&aspect=true
Vea,Lácteos,"$322,54",,VILLA D'AGRI,Tapa Empanadas Horno Villa D´a Gr 450 Gr Blister 18 U ,https://veaargentina.vtexassets.com/arquivos/ids/535109-500-auto?v=1765301948&width=500&height=auto&aspect=true
Vea,Lácteos,"$282,4","$197,68",YOGURISIMO,Yogur Bebible Conicet Vainilla Yogurisimo 190gr ,https://veaargentina.vtexassets.com/arquivos/ids/771901-500-auto?v=1765301058&width=500&height=auto&aspect=true
Vea,Lácteos,"$645,5","$451,85",YOGURISIMO,Yogur Bebible Conicet Frutilla Yogurisimo 1kg ,https://veaargentina.vtexassets.com/arquivos/ids/771908-500-auto?v=1765301057&width=500&height=auto&aspect=true
Vea,Lácteos,"$202,9",,MILKAUT,Yogur Light Milkaut Cremoso Colchon De Frutillas 150 Gr ,https://veaargentina.vtexassets.com/arquivos/ids/670725-500-auto?v=1765301763&width=500&height=auto&aspect=true
Vea,Lácteos,"$284,17","$198,92",YOGURADE,Yogur Entero Yogurade Frutos Del Bosque 150g ,https://veaargentina.vtexassets.com/arquivos/ids/662635-500-auto?v=1765301561&width=500&height=auto&aspect=true
Vea,Lácteos,"$316,7",,LA SERENISIMA,Leche La Martona Uat P.des 1bk 1l ,https://veaargentina.vtexassets.com/arquivos/ids/771670-500-auto?v=1765255126&width=500&height=auto&aspect=true
Vea,Perfumería,"$486,2","$291,72",REXONA,Jabón De Tocador Rexona Sensible 3x125g ,https://veaargentina.vtexassets.com/arquivos/ids/773126-500-auto?v=1765301267&width=500&height=auto&aspect=true
Vea,Perfumería,"$564,42","$423,31",REXONA,Desodorante Femenino Rexona Bamboo Aloe 72h 150ml ,https://veaargentina.vtexassets.com/arquivos/ids/772558-500-auto?v=1765294229&width=500&height=auto&aspect=true
